ran_at,route,performance,first-contentful-paint,largest-contentful-paint,total-blocking-time,cumulative-layout-shift,speed-index
2026-09-15T01:14:08.704Z,#/,54,12820.059,15380.412,0,0.083,12820.059
2026-09-15T01:14:08.704Z,#/wishlist,55,13357.108,16201.129,0,0,13357.108
2026-09-15T01:14:08.704Z,#/settings,49,12751.757,15451.757,0,0.155,12751.757
2026-09-15T01:14:08.704Z,#/events/illustar-fes-14,55,12769.178,15611.056,0,0,12769.178
2026-09-15T01:47:08.273Z,#/,54,12294.607,14480.385,0,0.083,12294.607
2026-09-15T01:47:08.273Z,#/wishlist,83,2633.499,3468.881,240.5,0,2633.499
2026-09-15T01:47:08.273Z,#/settings,83,2124.992,2905.323,225,0.147,2124.992
2026-09-15T01:47:08.273Z,#/events/illustar-fes-14,86,2298.649,3038.475,270,0.001,2298.649
2026-09-15T01:52:55.480Z,#/,60,3833.627,6691.004,237,0.086,4968.486
2026-09-15T01:52:55.480Z,#/wishlist,87,2795.326,2795.326,240,0,2795.326
2026-09-15T01:52:55.480Z,#/settings,78,2265.336,3091.074,274,0.164,2265.336
2026-09-15T01:52:55.480Z,#/events/illustar-fes-14,89,2126.147,3022.498,190,0.001,2126.147
